Format,Name,Country,Playing Role,Birth Place,Player ID,Last Updated
ALL,Virat Kohli,India,,,c61d247d-7f77-452c-b495-2813a9cd0ac4,2025-04-22
ALL,Joe Root,England,,,1ee41e9e-e219-4df2-9861-2360b28bb307,2025-04-22
ALL,Kane Williamson,New Zealand,,,a46cfa8b-96ae-4fb1-9499-65b8ce7e9634,2025-04-22
